Clave de la entidad,Entidad,Clave de la escuela,Nombre de la escuela,Turno,Nombre del municipio,Nombre de la licalidad,Subsistema,Grado de marginación (CONAPO) de la localidad donde se ubica el CT,Sostenimiento,Total de alumnos en el ultimo grado (matrícula),Alumnos programados,Alumnos evaluados: L&C,Alumnos evaluados: M,Porcentaje (%) de alumnos evaluados: L&C,Porcentaje (%) de alumnos evaluados: M,¿Los alumnos evaluados son representativos de la totalidad de los estudiantes de la escuela?: L&C,¿Los alumnos evaluados son representativos de la totalidad de los estudiantes de la escuela?: M,Escuelas parecidas para comparación,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: I,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: II,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: III,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: IV,NLLC:% de alumnos de la escuela en cada nivel de logro: I,NLLC:% de alumnos de la escuela en cada nivel de logro: II,NLLC:% de alumnos de la escuela en cada nivel de logro: III,NLLC:% de alumnos de la escuela en cada nivel de logro: IV,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro I,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro II,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro III,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro IV,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: I,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: II,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: III,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: IV,NLM:% de alumnos de la escuela en cada nivel de logro: I,NLM:% de alumnos de la escuela en cada nivel de logro: II,NLM:% de alumnos de la escuela en cada nivel de logro: III,NLM:% de alumnos de la escuela en cada nivel de logro: IV,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro I,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro II,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro III,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro IV
24,SAN LUIS POTOSI,24ETC0002O,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD SLP II REAL DE MINAS,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,CECYTE,MUY BAJO,ESTATAL,189,76,60,67,78.9,88.2,SI,SI,Estatales de San Luis Potosí,14,21,21,4,23.3,35,35,6.7,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,43,15,5,4,64.2,22.4,7.5,6,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ETC0002O,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD SLP II REAL DE MINAS,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,CECYTE,MUY BAJO,ESTATAL,141,76,74,72,97.4,94.7,SI,SI,Estatales de San Luis Potosí,40,16,16,2,54.1,21.6,21.6,2.7,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,59,11,1,1,81.9,15.3,1.4,1.4,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ETC0012V,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD S.L.P. IX BOCAS,MATUTINO,SAN LUIS POTOSI,BOCAS (ESTACION BOCAS),CECYTE,MEDIO,ESTATAL,86,80,76,76,95,95,SI,SI,Estatales de San Luis Potosí,23,28,20,5,30.3,36.8,26.3,6.6,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,52,20,3,1,68.4,26.3,3.9,1.3,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24DCT0422Z,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 121,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,DGETI,MUY BAJO,FEDERAL,311,76,65,63,85.5,82.9,SI,SI,Federales de San Luis Potosí,11,23,21,10,16.9,35.4,32.3,15.4,32.4,31.6,29.9,6,33.9,28.1,28.7,9.2,30,22,6,5,47.6,34.9,9.5,7.9,62,27.5,8.7,1.8,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24DCT0422Z,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 121,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,DGETI,MUY BAJO,FEDERAL,298,76,68,71,89.5,93.4,SI,SI,Federales de San Luis Potosí,22,18,25,3,32.4,26.5,36.8,4.4,32.4,31.6,29.9,6,33.9,28.1,28.7,9.2,34,22,12,3,47.9,31,16.9,4.2,62,27.5,8.7,1.8,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24DCT0424X,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 131,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,DGETI,MUY BAJO,FEDERAL,298,76,67,67,88.2,88.2,SI,SI,Federales de San Luis Potosí,7,16,29,15,10.4,23.9,43.3,22.4,32.4,31.6,29.9,6,33.9,28.1,28.7,9.2,27,22,14,4,40.3,32.8,20.9,6,62,27.5,8.7,1.8,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24DCT0424X,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 131,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,DGETI,MUY BAJO,FEDERAL,233,76,64,70,84.2,92.1,SI,SI,Federales de San Luis Potosí,11,21,29,3,17.2,32.8,45.3,4.7,32.4,31.6,29.9,6,33.9,28.1,28.7,9.2,43,13,10,4,61.4,18.6,14.3,5.7,62,27.5,8.7,1.8,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24PBH0086Y,"INSTITUTO AVANCE, A.C.",MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,PARTICULARES,MUY BAJO,PARTICULAR,46,38,32,31,84.2,81.6,SI,SI,Privadas de San Luis Potosí,14,9,6,3,43.8,28.1,18.8,9.4,29.7,29,31.3,10,33.9,28.1,28.7,9.2,22,8,1,0,71,25.8,3.2,0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24PCT0001V,INSTITUTO CARLOS GOMEZ,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,PARTICULARES,MUY BAJO,PARTICULAR,126,76,70,68,92.1,89.5,SI,SI,Privadas de San Luis Potosí,7,13,32,18,10,18.6,45.7,25.7,29.7,29,31.3,10,33.9,28.1,28.7,9.2,15,24,10,19,22.1,35.3,14.7,27.9,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24SBC0001C,LIC. JESUS SILVA HERZOG,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,PREECOS,MUY BAJO,PARTICULAR,420,76,67,68,88.2,89.5,SI,SI,Privadas de San Luis Potosí,6,14,33,14,9,20.9,49.3,20.9,29.7,29,31.3,10,33.9,28.1,28.7,9.2,20,31,13,4,29.4,45.6,19.1,5.9,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5
