ENTIDAD,NOMBRE DE LA ESCUELA,TURNO,NOMBRE DEL MUNICIPIO,NOMBRE DE LA LOCALIDAD,ALUMNOS EVALUADOS - LENGUAJE Y COMUNICACIÓN,ALUMNOS EVALUADOS - MATEMÁTICAS,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - LENGUAJE Y COMUNICACIÓN,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - MATEMÁTICAS,NIVEL LG - PORCENTAJE ALUMNOS - I,NIVEL LG - PORCENTAJE ALUMNOS - II,NIVEL LG - PORCENTAJE ALUMNOS - III,NIVEL LG - PORCENTAJE ALUMNOS - IV,NIVEL MATE - PORCENTAJE ALUMNOS - I,NIVEL MATE - PORCENTAJE ALUMNOS -  II,NIVEL MATE - PORCENTAJE ALUMNOS - III,NIVEL MATE - PORCENTAJE ALUMNOS - IV,grupos
SAN LUIS POTOSI,INSTITUTO LOMAS DEL REAL,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,24,24,SI,SI,4.2,4.2,58.3,33.3,25.0,29.2,20.8,25.0,0
SAN LUIS POTOSI,BACHILLERATO TECNOLOGICO DE SAN LUIS POTOSI,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,14,14,SI,SI,28.6,28.6,28.6,14.3,21.4,50.0,14.3,14.3,0
SAN LUIS POTOSI,COLEGIO SEMBRADORES DE AMISTAD,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,77,77,SI,SI,3.9,22.1,42.9,31.2,16.9,46.8,14.3,22.1,0
SAN LUIS POTOSI,INSTITUTO RICARDO FLORES MAGON,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,25,25,SI,SI,8.0,20.0,40.0,32.0,72.0,20.0,8.0,0.0,1
SAN LUIS POTOSI,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 121,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,68,71,SI,SI,32.4,26.5,36.8,4.4,47.9,31.0,16.9,4.2,1
SAN LUIS POTOSI,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 121,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,65,63,SI,SI,16.9,35.4,32.3,15.4,47.6,34.9,9.5,7.9,1
SAN LUIS POTOSI,CONCIENCIA BACHILLER,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,15,16,SI,SI,20.0,20.0,40.0,20.0,50.0,31.3,18.8,0.0,1
SAN LUIS POTOSI,ESCUELA PREPARATORIA REAL DEL POTOSI,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,15,15,SI,SI,33.3,26.7,40.0,0.0,46.7,46.7,6.7,0.0,1
SAN LUIS POTOSI,"COLEGIO JUAN DE DIOS PEZA, A.C.",MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,38,39,SI,SI,10.5,18.4,34.2,36.8,53.8,25.6,10.3,10.3,1
SAN LUIS POTOSI,INSTITUTO CULTURAL LICEO DEL POTOSI,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,37,37,SI,SI,29.7,24.3,35.1,10.8,62.2,32.4,2.7,2.7,1
