ENTIDAD,NOMBRE DE LA ESCUELA,TURNO,NOMBRE DEL MUNICIPIO,NOMBRE DE LA LOCALIDAD,ALUMNOS EVALUADOS - LENGUAJE Y COMUNICACIÓN,ALUMNOS EVALUADOS - MATEMÁTICAS,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - LENGUAJE Y COMUNICACIÓN,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - MATEMÁTICAS,NIVEL LG - PORCENTAJE ALUMNOS - I,NIVEL LG - PORCENTAJE ALUMNOS - II,NIVEL LG - PORCENTAJE ALUMNOS - III,NIVEL LG - PORCENTAJE ALUMNOS - IV,NIVEL MATE - PORCENTAJE ALUMNOS - I,NIVEL MATE - PORCENTAJE ALUMNOS -  II,NIVEL MATE - PORCENTAJE ALUMNOS - III,NIVEL MATE - PORCENTAJE ALUMNOS - IV,grupos
SAN LUIS POTOSI,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 205 SAN LUIS POTOSI,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,59,60,SI,SI,62.7,22.0,15.3,0.0,98.3,1.7,0.0,0.0,3
SAN LUIS POTOSI,INSTITUTO PONCIANO ARRIAGA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,57,53,SI,SI,66.7,17.5,15.8,0.0,90.6,7.5,1.9,0.0,3
SAN LUIS POTOSI,FLORENCIO SALAZAR MARTINEZ,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,ENRIQUE ESTRADA (LA CONCHA),21,21,SI,SI,66.7,23.8,4.8,4.8,95.2,4.8,0.0,0.0,3
SAN LUIS POTOSI,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 43 ING. MANUEL MOREN,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,72,73,SI,SI,52.8,27.8,19.4,0.0,80.8,19.2,0.0,0.0,3
SAN LUIS POTOSI,JOSE VASCONCELOS,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,39,37,SI,SI,46.2,25.6,20.5,7.7,73.0,21.6,2.7,2.7,3
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 19,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,73,73,SI,SI,42.5,38.4,16.4,2.7,76.7,19.2,4.1,0.0,3
SAN LUIS POTOSI,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD SLP II REAL DE MINAS,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,74,72,SI,SI,54.1,21.6,21.6,2.7,81.9,15.3,1.4,1.4,3
SAN LUIS POTOSI,PROF. RAFAEL TURRUBIARTES MACIAS,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,37,37,SI,SI,45.9,24.3,24.3,5.4,78.4,18.9,2.7,0.0,3
SAN LUIS POTOSI,PROFA. CELIA FERNANDEZ CAPETILLO,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,74,76,SI,SI,48.6,31.1,17.6,2.7,94.7,5.3,0.0,0.0,3
SAN LUIS POTOSI,E.P.C. NUM. 22 RICARDO FLORES MAGON,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,35,36,SI,SI,42.9,28.6,25.7,2.9,86.1,5.6,2.8,5.6,3
SAN LUIS POTOSI,NUEVA GENERACION,MATUTINO,SAN LUIS POTOSI,LA PILA,35,35,SI,SI,62.9,20.0,17.1,0.0,88.6,11.4,0.0,0.0,3
SAN LUIS POTOSI,E.P.C. NUM. 2 LUIS G. MEDELLIN NIÑO,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,32,35,SI,SI,31.3,46.9,18.8,3.1,85.7,14.3,0.0,0.0,3
SAN LUIS POTOSI,PROF. LIBRADO RIVERA,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,75,74,SI,SI,52.0,26.7,17.3,4.0,82.4,14.9,1.4,1.4,3
SAN LUIS POTOSI,E.P.C. NUM. 6 JESUS MARIA ISAIS REYES,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,28,29,SI,SI,42.9,28.6,28.6,0.0,86.2,10.3,3.4,0.0,3
SAN LUIS POTOSI,E.P.C. NUM. 32 JUSTO SIERRA,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,RANCHO NUEVO,28,28,SI,SI,67.9,17.9,10.7,3.6,96.4,3.6,0.0,0.0,3
SAN LUIS POTOSI,TOMAS MIRANDA LEURA,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,75,75,SI,SI,54.7,34.7,9.3,1.3,86.7,9.3,4.0,0.0,3
SAN LUIS POTOSI,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO X ESCALERILLAS,MATUTINO,SAN LUIS POTOSI,ESCALERILLAS,39,39,SI,SI,69.2,23.1,7.7,0.0,89.7,7.7,2.6,0.0,3
SAN LUIS POTOSI,"INSTITUTO AVANCE, A.C.",MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,32,31,SI,SI,43.8,28.1,18.8,9.4,71.0,25.8,3.2,0.0,3
