Nombre de la escuela,Clave de la escuela,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV
"COLEGIO HISPANO MEXICANO, A.C.",24PBH0010I,29.7,29,31.3,10,63.6,24.6,7.6,4.3
COLEGIO SEMBRADORES DE AMISTAD,24PBH0011H,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO SANTA RITA,24PBH0014E,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"INSTITUTO LATINOAMERICANO DE SAN LUIS, A.C.",24PBH0023M,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES DE MONTERREY CAMPUS SAN LUIS P,24PBH0028H,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO CARLOS GOMEZ,24PBH0031V,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"INSTITUTO ALFRED NOBEL DEL CENTRO, S.C.",24PBH0034S,29.7,29,31.3,10,63.6,24.6,7.6,4.3
COLEGIO VALLARTA,24PBH0037P,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO PONCIANO ARRIAGA,24PBH0045Y,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"INSTITUTO DE ESTUDIOS SUPERIORES DE SAN LUIS, A.C.",24PBH0046X,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO ATENEA,24PBH0047W,29.7,29,31.3,10,63.6,24.6,7.6,4.3
