Acciones,Fecha,Precio inicio,Precio cierre,Máximo,Mínimo,% Variación del mercado,USD - MXN Apertura,USD - MXN Cierre,% Variación USD - MXN,Inflación - INPC indice general,Indice de precios y cotizaciones - Indice general,"Indice de precios y cotizaciones, Indice por clasificación sectorial - Materiales","Indice de precios y cotizaciones - Indice por clasificación sectorial, Servicios y bienes de consumo no básicos","Indice de precios y cotizaciones - Indice por clasificación sectorial, Productos de consumo frecuentes","Indice de precios y cotizaciones - Indice por clasificación sectorial, Servicios financieros"
"Grupo Elektra, S.A.B De C.V.",jul-20,"1,255.68","1,191.78","1,284.99","1,165.51",-5.44%,22.9987,22.2714,-3.12%,0.66,"37,019.68",634.67,810.01,793.83,66.18
"Grupo Elektra, S.A.B De C.V.",ago-20,"1,184.76","1,197.99","1,242.75","1,170.00",0.52%,22.2644,21.8785,-1.76%,0.39,"36,840.73",652.10,818.12,777.17,64.32
"Grupo Elektra, S.A.B De C.V.",sep-20,"1,195.00","1,198.90","1,221.45","1,155.00",0.08%,21.8915,22.099,1.01%,0.23,"37,458.69",663.60,817.22,781.34,64.57
"Grupo Elektra, S.A.B De C.V.",oct-20,"1,196.84","1,201.83","1,269.00","1,177.00",0.24%,22.1065,21.171,-4.20%,0.61,"36,987.86",697.99,811.52,750.53,70.04
"Grupo Elektra, S.A.B De C.V.",nov-20,"1,201.93","1,293.83","1,301.56","1,188.05",7.65%,21.244,20.166,-4.75%,0.08,"41,778.87",771.60,885.80,806.43,80.81
"Grupo Elektra, S.A.B De C.V.",dic-20,"1,293.73","1,319.68","1,399.98","1,240.00",2.00%,20.1825,19.871,-1.46%,0.38,"44,066.88",866.78,893.27,840.79,84.86
"Grupo Elektra, S.A.B De C.V.",ene-21,"1,319.78","1,386.01","1,436.92","1,304.20",5.03%,19.8885,20.5855,3.60%,0.86,"42,985.73",901.35,914.49,823.66,79.56
"Grupo Elektra, S.A.B De C.V.",feb-21,"1,383.04","1,385.84","1,409.97","1,340.00",-0.01%,20.475,20.848,1.28%,0.63,"44,592.91",988.97,920.43,835.19,81.51
"Grupo Elektra, S.A.B De C.V.",mar-21,"1,385.94","1,374.28","1,421.17","1,365.01",-0.83%,20.862,20.422,-2.04%,0.83,"47,246.26","1,035.51",921.16,893.13,85.22
"Grupo Elektra, S.A.B De C.V.",abr-21,"1,374.87","1,521.83","1,530.09","1,366.15",10.74%,20.439,20.226,-0.96%,0.33,"48,009.72",982.30,"1,010.23",907.29,86.72
"Grupo Elektra, S.A.B De C.V.",may-21,"1,521.83","1,625.61","1,650.08","1,505.00",6.82%,20.2415,19.9461,-1.38%,0.20,"50,885.95","1,053.70","1,067.16",923.69,95.17
"Grupo Elektra, S.A.B De C.V.",jun-21,"1,625.93","1,615.13","1,649.90","1,608.48",-0.64%,19.9535,19.931,-0.08%,0.53,"50,289.75","1,054.57","1,063.67",926.64,94.68
"Grupo Elektra, S.A.B De C.V.",jul-21,"1,615.23","1,613.75","1,633.00","1,599.95",-0.09%,19.945,19.855,-0.38%,0.59,"50,868.32","1,031.27","1,074.22",935.11,93.39
"Grupo Elektra, S.A.B De C.V.",ago-21,"1,614.82","1,600.30","1,622.50","1,591.00",-0.83%,19.899,20.063,1.05%,0.19,"53,304.74","1,044.68","1,057.17",999.48,95.07
"Grupo Elektra, S.A.B De C.V.",sep-21,"1,600.20","1,569.14","1,607.99","1,551.00",-1.95%,20.073,20.63,2.83%,0.62,"51,385.55",956.14,"1,042.01",998.34,95.07
"Grupo Elektra, S.A.B De C.V.",oct-21,"1,569.04","1,580.96","1,585.87","1,481.13",0.75%,20.6415,20.545,-0.41%,0.84,"51,309.84",991.16,"1,050.20","1,008.91",96.11
"Grupo Elektra, S.A.B De C.V.",nov-21,"1,581.06","1,397.80","1,585.90","1,363.24",-11.59%,20.5745,21.4368,4.34%,1.14,"49,698.72",991.16,949.47,965.15,95.12
"Grupo Elektra, S.A.B De C.V.",dic-21,"1,412.99","1,550.66","1,560.00","1,372.35",10.94%,21.4475,20.487,-4.43%,0.36,"53,272.44","1,006.98","1,036.24","1,047.74",99.92
"Grupo Elektra, S.A.B De C.V.",ene-22,"1,550.66","1,355.38","1,550.66","1,315.02",-12.59%,20.4944,20.625,0.67%,0.59,"51,330.85",984.25,940.81,996.04,104.21
"Grupo Elektra, S.A.B De C.V.",feb-22,"1,350.02","1,343.71","1,374.00","1,280.51",-0.86%,20.634,20.461,-0.80%,0.83,"53,400.61","1,068.46",931.79,"1,064.26",109.59
"Grupo Elektra, S.A.B De C.V.",mar-22,"1,328.00","1,293.26","1,343.70","1,261.50",-3.75%,20.47,19.845,-3.01%,0.99,"56,536.68","1,152.14",931.77,"1,080.32",119.16
"Grupo Elektra, S.A.B De C.V.",abr-22,"1,297.20","1,223.65","1,297.20","1,208.01",-5.38%,19.8695,20.411,2.85%,EN ESPERA,"51,417.97",996.90,880.62,"1,010.73",107.82
